Release_Date,Movie_Title,Production_Budget,Domestic_Gross,Worldwide_Gross
2020-02-18,Monster Hunter,60000000,15104790,44400541
2000-01-14,Supernova,60000000,14218868,14816494
2006-09-22,Flyboys,60000000,13090630,14816379
2014-02-14,Winter’s Tale,60000000,12600231,29575033
1998-09-10,Holy Man,60000000,12069719,12069719
2008-11-07,Meet Dave,60000000,11803254,50648806
2005-12-08,The Great Raid,60000000,10166502,10597070
2016-02-07,Rock Dog,60000000,9420546,24148488
2015-01-21,Mortdecai,60000000,7696134,30396134
2008-11-01,In the Name of the King: A Dungeon Siege Tale,60000000,4775656,13233220
2003-10-24,Beyond Borders,60000000,4426297,11427090
2016-04-02,Xi You Ji zhi Sun Wu Kong San Da Bai Gu Jing,60000000,709982,194058503
2019-08-30,The Informer,60000000,300460,2369336
2015-11-12,The Ridiculous 6,60000000,0,0
2018-03-15,Sherlock Gnomes,59000000,43242871,87527651
2019-01-18,The Kid Who Would Be King,59000000,16790790,28296983
2016-09-02,Deadpool,58000000,363070709,784157111
2014-12-25,American Sniper,58000000,350126372,547326372
2015-10-14,Goosebumps,58000000,80069458,158911568
1988-05-25,Rambo III,58000000,53715611,188715611
1995-12-15,Sabrina,58000000,53458319,87100000
2012-01-20,Red Tails,58000000,49876377,50365498
2005-09-16,Just Like Heaven,58000000,48318130,100687083
2013-07-06,The Internship,58000000,44672764,93672764
2000-04-28,The Flintstones in Viva Rock Vegas,58000000,35231365,59431365
2008-04-04,Leatherheads,58000000,31373938,41348628
2009-12-18,Did You Hear About the Morgans?,58000000,29580087,80480566
2008-12-12,Che Part 1: The Argentine,58000000,1802521,31627370
2008-05-30,Sex and the City,57500000,152647258,415247258
2010-10-09,Resident Evil: Afterlife,57500000,60128566,295874190
2012-06-13,That’s My Boy,57500000,36931089,58879681
1997-10-17,Devil’s Advocate,57000000,61007424,153007424
2012-02-17,Ghost Rider: Spirit of Vengeance,57000000,51774002,149217355
1996-05-31,Dragonheart,57000000,51364680,104364680
2004-12-11,After the Sunset,57000000,28328132,38329114
2001-08-17,Captain Corelli's Mandolin,57000000,25528495,62097495
2014-12-25,Into the Woods,56200000,128002372,212550576
2003-11-04,Anger Management,56000000,135560942,195484552
2005-04-03,The Pacifier,56000000,113006880,198006880
2004-02-04,Walking Tall,56000000,46213824,47856383
2015-12-07,Zhuo yao ji,56000000,32766,359295591
2019-02-10,Joker,55000000,335451311,1072507517
1994-06-07,Forrest Gump,55000000,330151138,679838260
2007-12-14,Alvin and the Chipmunks,55000000,217326974,362605033
2018-10-26,Bohemian Rhapsody,55000000,216303339,887040610
2005-11-02,Hitch,55000000,177784257,366784257
2000-06-10,Meet the Parents,55000000,166225040,330425040
2006-12-15,The Pursuit of Happyness,55000000,162586036,307311093
1995-10-06,Pocahontas,55000000,141579773,347100000
1978-12-15,Superman,55000000,134218018,300200000
1996-06-28,The Nutty Professor,55000000,128814019,273814019
2017-08-02,Fifty Shades Darker,55000000,114434010,381367046
2013-11-10,Captain Phillips,55000000,107136417,220648184
1997-07-16,George Of The Jungle,55000000,105263257,174463257
2003-01-08,American Wedding,55000000,104354205,232354205
2017-03-11,Murder on the Orient Express,55000000,102826543,351767147
2014-09-26,The Equalizer,55000000,101530738,192903624
2018-07-02,Fifty Shades Freed,55000000,100407760,371985018
1995-05-26,Casper,55000000,100328194,282300000
2010-09-04,Date Night,55000000,98711404,152269033
2002-12-13,Maid in Manhattan,55000000,93932896,163838217
1995-12-05,Crimson Tide,55000000,91387195,159387195
2005-09-23,Flightplan,55000000,89706988,214392904
1994-09-12,Disclosure,55000000,83015089,212200000
1998-10-04,City of Angels,55000000,78750909,198750909
2014-11-28,Paddington,55000000,76223578,252410984
2006-04-28,R.V.,55000000,71724497,87473024
1994-10-28,Stargate,55000000,71565669,196565669
2003-10-10,Kill Bill: Volume 1,55000000,70098138,176469428
2011-06-17,Mr. Poppers's Penguins,55000000,68224452,189624452
1999-08-13,Bowfinger,55000000,66458769,98699769
2004-04-16,Kill Bill: Volume 2,55000000,66207920,153535982
1989-12-22,Tango & Cash,55000000,63408614,63408614
1992-07-31,Death Becomes Her,55000000,58422650,149022650
2000-05-26,Shanghai Noon,55000000,56932305,71189835
1996-03-15,Executive Decision,55000000,56679192,122079192
2013-10-31,Free Birds,55000000,55750480,110387072
1992-05-22,Alien 3,55000000,54927174,158500000
2008-04-18,The Forbidden Kingdom,55000000,52075270,129075270
2004-08-12,The Phantom of the Opera,55000000,51225796,153770052
2014-03-21,Muppets Most Wanted,55000000,51178893,79312301
1996-12-20,Evita,55000000,50047179,151947179
2016-08-18,Kubo and the Two Strings,55000000,48023088,77548122
1998-09-25,Ronin,55000000,41610884,70692101
2010-11-24,Burlesque,55000000,39440655,90552675
1996-11-10,The Ghost and the Darkness,55000000,38564422,38564422
2008-10-24,Changeling,55000000,35739802,113805580
2012-07-27,The Watch,55000000,34353000,67130045
2003-03-14,The Hunted,55000000,34234008,47213095
1999-04-06,Instinct,55000000,34105207,34105207
2003-12-12,Stuck On You,55000000,33832741,63537164
2008-02-29,Semi-Pro,55000000,33479698,43980363
2018-02-23,Annihilation,55000000,32732301,43070915
2015-10-14,Crimson Peak,55000000,31090320,74966854
2012-03-28,The Pirates! Band of Misfits,55000000,31051126,136143605
2021-10-06,In the Heights,55000000,29879041,43583702
2005-02-12,Aeon Flux,55000000,25857987,53913573
1996-02-08,Chain Reaction,55000000,21226204,60209334
1996-08-16,The Fan,55000000,18582965,18582965
2007-12-10,Elizabeth: The Golden Age,55000000,16285240,74870866
2009-12-06,Imagine That,55000000,16222392,22438144
2003-02-21,Gods and Generals,55000000,12882934,12923936
1997-10-01,Turbulence,55000000,11532774,11532774
2013-01-31,Bullet to the Head,55000000,9489829,22597969
2006-09-22,All the King's Men,55000000,7221458,9521458
2004-07-30,Thunderbirds,55000000,6768055,28231444
2004-11-26,Un long dimanche de fiançailles,55000000,6167817,69722444
2007-04-05,Lucky You,55000000,5755286,6521829
1998-07-22,Lolita,55000000,1147784,1147784
2002-09-20,Eye See You,55000000,79161,1807990
1981-06-19,Superman II,54000000,108185706,190400000
2002-03-22,Blade 2,54000000,81676888,154338601
2006-07-14,You Me and Dupree,54000000,75802010,130402010
2008-12-19,Seven Pounds,54000000,69951824,166617328
1990-12-25,The Godfather: Part III,54000000,66666062,66772386
2005-10-14,Elizabethtown,54000000,26850426,50719373
2003-01-08,Gigli,54000000,6087542,7126002
2005-05-08,The Dukes of Hazzard,53000000,80270227,109848461
2009-10-16,Law Abiding Citizen,53000000,73357727,131159781
2015-09-17,Black Mass,53000000,62575678,98837872
1997-11-14,Anastasia,53000000,58403409,139801096
2001-05-18,Moulin Rouge,53000000,57386369,179199536
2001-02-11,Domestic Disturbance,53000000,45207112,54207112
2006-10-20,Flags of Our Fathers,53000000,33602376,63657941
2007-06-04,Grindhouse,53000000,25031037,50187789
1998-10-16,Beloved,53000000,22852487,22852487
2012-12-19,Zero Dark Thirty,52500000,95720716,134612435
2002-12-25,Catch Me if You Can,52000000,164606800,355612291
2008-02-07,Mamma Mia!,52000000,144130063,602891655
2006-02-06,The Break-Up,52000000,118703275,205727307
2010-12-02,Valentine's Day,52000000,110485654,217569328
1995-11-22,Casino,52000000,42438300,110400000
2011-05-08,The Change-Up,52000000,37243418,75997067
1998-12-23,The Thin Red Line,52000000,36400491,97709034
1999-12-22,Man on the Moon,52000000,34580635,47407635
2010-05-02,From Paris With Love,52000000,24077427,53139168
2003-04-16,Bulletproof Monk,52000000,23010607,26922492
2000-06-23,Me Myself & Irene,51000000,90570999,149270999
2006-04-08,Barnyard: The Original Party Animals,51000000,72779000,118583844
2018-08-15,Alpha,51000000,35851379,99624873
2006-11-22,Deck the Halls,51000000,35093569,46815807
2020-10-07,Greyhound,50300000,0,0
2011-04-03,The Adjustment Bureau,50200000,62495645,126931325
2009-11-19,The Twilight Saga: New Moon,50000000,296623634,687557727
2001-05-18,Shrek,50000000,267655011,491812794
2012-06-29,Ted,50000000,218665740,556016627
2014-05-06,22 Jump Street,50000000,191719337,331333876
1991-06-14,Robin Hood: Prince of Thieves,50000000,165493908,390500000
1996-12-13,Jerry Maguire,50000000,153952592,273552592
2015-12-25,Daddy’s Home,50000000,150357137,241504989
1997-12-24,As Good as it Gets,50000000,148478011,314111923
1998-12-25,Patch Adams,50000000,135014968,202173000
2016-06-16,Central Intelligence,50000000,127440871,217194805
2013-12-18,Anchorman 2: The Legend Continues,50000000,127413176,172246223
2011-10-06,Super 8,50000000,127004179,257972745
2002-06-28,Mr. Deeds,50000000,126293452,171269535
2000-03-17,Erin Brockovich,50000000,125548685,257805243
2018-11-21,Creed II,50000000,115715889,213591522
2018-08-02,Peter Rabbit,50000000,115234093,346727372
2003-07-02,How to Lose a Guy in 10 Days,50000000,105807520,178503788
1994-11-11,Interview with the Vampire,50000000,105264608,223564608
2018-12-14,The Mule,50000000,103804407,173453994
2008-12-19,Yes Man,50000000,97690976,225990976
2014-02-28,Non-Stop,50000000,91742160,222383055
1998-12-25,Stepmom,50000000,91137662,159745279
2013-09-08,Disney Planes,50000000,90282580,238059569
2006-10-03,Failure to Launch,50000000,88715192,128402901
2006-03-24,Inside Man,50000000,88634237,185798265
2017-07-26,The Emoji Movie,50000000,86089513,216564840
2011-07-29,Crazy Stupid Love,50000000,84351197,147142328
2017-12-22,The Post,50000000,81903458,179769457
1999-05-02,Payback,50000000,81526121,161626121
1995-09-06,Congo,50000000,81022333,152022333
2009-03-20,Knowing,50000000,79957634,186450317
2005-03-18,The Ring Two,50000000,75941727,161941727
2011-12-23,We Bought a Zoo,50000000,75624550,118729073
2011-09-23,Moneyball,50000000,75605492,111300835
2004-11-06,Garfield: The Movie,50000000,75367693,208094550
2004-11-24,Christmas with the Kranks,50000000,73701902,96469187
2006-03-17,V for Vendetta,50000000,70511035,130214162
1995-10-03,Outbreak,50000000,67823573,190023573
2009-03-13,Race to Witch Mountain,50000000,67172595,105103784
2004-09-24,The Forgotten,50000000,66711892,117211892
2005-06-22,Herbie: Fully Loaded,50000000,66010682,144110682
2003-07-02,Shanghai Knights,50000000,60470220,88316835
2014-07-17,Planes: Fire and Rescue,50000000,59157732,156399644
2006-10-02,Curious George,50000000,58640119,71052604
2012-04-04,American Reunion,50000000,56758835,236799211
2013-01-25,Hansel & Gretel: Witch Hunters,50000000,55703475,214949716
2011-02-18,I am Number Four,50000000,55100437,146195159
2001-09-28,Don’t Say a Word,50000000,54997476,104488383
2016-01-15,13 Hours: The Secret Soldiers of Benghazi,50000000,52853219,69411370
2002-08-05,Unfaithful,50000000,52752475,119114494
2017-08-23,American Made,50000000,51342000,135569212
2005-11-23,Syriana,50000000,50824620,92690959
2004-10-09,Resident Evil: Apocalypse,50000000,50740078,125168734
2014-10-17,The Book of Life,50000000,50151543,97651543
1997-02-14,Absolute Power,50000000,50068310,50068310
2006-10-02,Firewall,50000000,48751189,82751189
1997-12-09,The Game,50000000,48265581,80369970
1997-08-22,G.I. Jane,50000000,48169156,48169156
2014-08-08,Into the Storm,50000000,47602194,150429371
2014-10-10,The Judge,50000000,47119388,76073556
2006-04-21,Silent Hill,50000000,46982632,94704227
2021-12-02,Tom and Jerry,50000000,46041123,132055573
2019-09-19,Rambo: Last Blood,50000000,44819352,91419352
2000-11-08,The Replacements,50000000,44737059,50054511
1998-07-29,The Negotiator,50000000,44705766,49105766
2016-08-19,War Dogs,50000000,43034523,86234503
1994-05-25,Beverly Hills Cop III,50000000,42586861,119180938
1990-06-15,Gremlins 2: The New Batch,50000000,41476097,41476097
1997-09-26,The Peacemaker,50000000,41263140,62967368
2003-03-10,Out of Time,50000000,41083108,55489826
2004-12-11,Bridget Jones: The Edge Of Reason,50000000,40203020,263894551
2000-11-02,The Beach,50000000,39778599,39778599
2005-10-06,The Adventures of Sharkboy and Lavagirl in 3-D,50000000,39177684,69425966
1994-02-18,On Deadly Ground,50000000,38590458,38590458
2009-11-25,Ninja Assassin,50000000,38122883,62209892
2004-05-28,Raising Helen,50000000,37485528,49842431
2016-05-19,The Nice Guys,50000000,36261763,59596747
1999-09-17,For Love of the Game,50000000,35188640,46112640
1998-11-12,Jack Frost,50000000,34645374,34645374
2010-04-06,Marmaduke,50000000,33644788,89895930
1996-06-28,Striptease,50000000,33109743,113309743
2010-10-15,Hereafter,50000000,32746941,108660270
2002-04-19,Murder by Numbers,50000000,31874869,56643267
1995-06-10,Assassins,50000000,30306268,83306268
2017-12-22,Hostiles,50000000,29819114,36976336
2016-05-02,Zoolander 2,50000000,28848693,55348693
2009-01-16,Defiance,50000000,28644813,52987754
2007-09-02,Hannibal Rising,50000000,27669725,80583311
1999-10-15,The Story of Us,50000000,27100030,27100030
2013-03-22,The Host,50000000,26623701,64477051
2003-03-28,Basic,50000000,26599248,42598498
2015-11-03,Run All Night,50000000,26461644,71561644
2002-09-08,Blood Work,50000000,26199517,26199517
2009-02-13,The International,50000000,25450527,53850527
1996-09-08,Escape from L.A.,50000000,25426861,25426861
2004-02-27,Twisted,50000000,25195050,40119848
2017-12-25,All the Money in the World,50000000,25106325,56890649
2004-10-12,The Life Aquatic with Steve Zissou,50000000,24006726,34806726
1999-04-08,The Iron Giant,50000000,23159305,31333917
2011-08-04,Your Highness,50000000,21596445,26121638
2015-12-30,Snowden,50000000,21587519,35380918
2011-09-30,Dream House,50000000,21302340,41642166
2016-06-24,Free State of Jones,50000000,20810036,23237252
2009-04-09,Gamer,50000000,20534907,42002029
2005-02-25,Man of the House,50000000,19699706,22099706
2003-02-21,The Life of David Gale,50000000,19694635,28920188
2013-02-14,Beautiful Creatures,50000000,19452138,60282876
2005-09-30,Into the Blue,50000000,18782227,41982227
2007-09-14,Eastern Promises,50000000,17181265,56077088
1994-01-07,Baby’s Day Out,50000000,16581575,16581575
1999-12-11,The Messenger: The Story of Joan of Arc,50000000,14271297,14271297
2021-11-18,King Richard,50000000,13701474,21901474
1995-03-11,Fair Game,50000000,11497497,26097497
2011-02-25,Drive Angry,50000000,10721033,41042583
1997-07-11,Mad City,50000000,10561038,10561038
1995-10-13,The Scarlet Letter,50000000,10359006,10359006
2005-10-14,Domino,50000000,10169202,23574057
1995-10-13,Jade,50000000,9812870,9812870
2009-02-27,Street Fighter: The Legend of Chun-Li,50000000,8742261,12660287
2002-03-29,Death to Smoochy,50000000,8355815,8374062
2018-01-26,Early Man,50000000,8267544,45285890
2009-11-13,The Boat That Rocked,50000000,8017467,37472651
2004-01-30,The Big Bounce,50000000,6471394,6626115
2000-03-03,What Planet Are You From?,50000000,6291602,6291602
2019-01-02,Liu Lang Di Qiu,50000000,5875487,727846450
2019-01-11,Arctic Dogs,50000000,5801249,9694569
2020-01-31,The Rhythm Section,50000000,5437971,5983043
2015-04-17,Child 44,50000000,1224330,8004221
2009-01-23,Outlander,50000000,166003,1250617
2012-08-23,Upside Down,50000000,102118,26387039
2012-07-09,Shanghai,50000000,46425,15505922
,Hannibal the Conqueror,50000000,0,0
2019-08-08,Dora and the Lost City of Gold,49000000,60477943,120597108
2001-02-11,The One,49000000,43905746,72689126
2015-04-03,Chappie,49000000,31569268,105002056
1990-11-07,The Adventures of Ford Fairlane,49000000,20423389,20423389
2012-07-09,Anna Karenina,49000000,12816367,71004627
1989-05-24,Indiana Jones and the Last Crusade,48000000,197171806,474171806
2002-10-18,The Ring,48000000,129094024,248218486
2000-12-27,Traffic,48000000,124107476,208300000
2002-03-29,Panic Room,48000000,95308367,196308367
2015-02-01,Taken 3,48000000,89256424,327656424
2019-09-10,Zombieland: Double Tap,48000000,73118130,122266018
1999-06-08,The Thomas Crown Affair,48000000,69304264,124304264
2018-11-16,Instant Family,48000000,67363237,119736188
1999-05-11,The Bone Collector,48000000,66488090,151463090
1999-01-10,Three Kings,48000000,60652036,107752036
2010-01-22,Tooth Fairy,48000000,60022256,112610386
2001-08-17,Rat Race,48000000,56607223,86607223
2007-07-09,3:10 to Yuma,48000000,53606916,71171825
2001-08-13,K-PAX,48000000,50315140,64978140
2001-12-25,Kate and Leopold,48000000,47095453,70937778
2000-10-20,Bedazzled,48000000,37879996,90376224
1998-06-26,Out of Sight,48000000,37562568,77562568
1984-12-14,The Cotton Club,48000000,25928721,25928721
2019-11-13,Charlie’s Angels,48000000,17801306,73180003
2008-01-25,Rambo,47500000,42754105,113244290
2016-07-13,The Infiltrator,47500000,15436808,22152137
1990-06-15,Dick Tracy,47000000,103738726,162738726
2016-09-11,Arrival,47000000,100546139,202863303
1996-06-14,The Cable Guy,47000000,60240295,102825796
1993-11-19,Addams Family Values,47000000,46293855,46293855
2009-04-22,Earth,47000000,32011576,116773317
2001-10-19,Riding in Cars with Boys,47000000,29781453,29781453
2007-05-01,Happily N'Ever After,47000000,15849032,37923818
2002-11-27,Solaris,47000000,14970038,14970038
2010-06-18,Jonah Hex,47000000,10547117,11022696
1996-02-23,Mary Reilly,47000000,5707094,12900000
2016-12-23,Silence,46500000,7100177,23726626
2012-04-10,Mr. Nobody,46500000,3622,22254
1997-06-20,My Best Friend's Wedding,46000000,126813153,298923419
2001-07-20,America's Sweethearts,46000000,93607673,160648493
1996-11-22,Star Trek: First Contact,46000000,92027888,150000000
2002-05-24,Insomnia,46000000,67263182,113622499
2013-09-19,Prisoners,46000000,61002302,113361720
1996-12-07,Courage Under Fire,46000000,59003384,100833145
1982-09-17,Inchon,46000000,4408636,4408636
2015-05-11,Arthur and the War of Two Worlds,45500000,347136,36180824
1997-03-21,Liar Liar,45000000,181410615,302710615
1998-11-20,A Bug's Life,45000000,162798565,363095319
2012-09-27,Taken 2,45000000,139854287,377807404
1994-05-27,The Flintstones,45000000,130531208,358500000
2003-10-24,Scary Movie 3,45000000,110000082,155200000
2000-12-22,Miss Congeniality,45000000,106807667,213420951
2017-12-21,Pitch Perfect 3,45000000,104897530,185736412
2008-11-07,Journey to the Center of the Earth,45000000,101704370,243180937
1993-12-17,The Pelican Brief,45000000,100768056,187995859
2004-11-08,The Princess Diaries 2: Royal Engagement,45000000,95149435,122071435
2007-12-25,The Bucket List,45000000,93466502,174807445
1994-07-20,The Client,45000000,92115211,117615211
2011-11-23,The Muppets,45000000,88625922,160971922
1992-05-06,Patriot Games,45000000,83287363,178100000
2005-05-13,Monster-in-Law,45000000,82931301,155931301
2001-05-10,Training Day,45000000,76261036,104505362
2016-05-10,The Girl on the Train,45000000,75395035,174278214
1999-12-24,Galaxy Quest,45000000,71423726,90523726
2001-04-07,Scary Movie 2,45000000,71277420,141189101
1998-08-21,Blade,45000000,70141876,131237688
2005-01-14,Coach Carter,45000000,67264877,76665507
2010-03-19,The Bounty Hunter,45000000,67061228,135808837
2002-12-04,Changing Lanes,45000000,66790248,66790248
1997-11-04,Anaconda,45000000,65598907,136998907
2006-01-20,Underworld: Evolution,45000000,62318875,113417762
2019-11-22,A Beautiful Day in the Neighborhood,45000000,61696436,68550222
2000-04-08,Coyote Ugly,45000000,60786269,113916474
2003-07-11,Love Actually,45000000,59472278,246821053
1996-09-08,Jack,45000000,58617334,58617334
1994-07-10,The Specialist,45000000,57362581,170362581
2016-08-12,Office Christmas Party,45000000,54767494,115097874
1996-08-16,Tin Cup,45000000,53854588,75854588
2005-11-23,Yours Mine and Ours,45000000,53359917,72359917
2005-05-13,Kicking and Screaming,45000000,52842724,55842724
2005-04-29,The Hitchhiker's Guide to the Galaxy,45000000,51019112,102746214
2007-09-21,Resident Evil: Extinction,45000000,50648679,149871103
2004-12-25,Fat Albert,45000000,48114556,48563556
2012-06-07,Savages,45000000,47323100,82513490
1994-09-30,The River Wild,45000000,46815000,94215000
2014-05-22,Blended,45000000,46290741,127990741
2016-06-15,All Eyez on Me,45000000,44922302,57697426
2021-03-26,Peter Rabbit 2: The Runaway,45000000,40391464,152550437
2006-01-13,Last Holiday,45000000,38399961,43343247
2006-03-03,16 Blocks,45000000,36895141,65595141
1995-07-14,The Indian in the Cupboard,45000000,35627222,35627222
2004-10-09,Cellular,45000000,32003620,61453420
2019-10-31,Doctor Sleep,45000000,31581712,71856239
2006-07-28,The Ant Bully,45000000,28142535,49610898
2003-11-04,Johnny English,45000000,28013509,161735791
2009-07-31,Aliens in the Attic,45000000,25200412,59551283
2007-09-14,Across the Universe,45000000,24343673,29367143
2008-12-26,Revolutionary Road,45000000,22951340,79604820
2008-08-29,Babylon A.D.,45000000,22532572,70216497
2019-12-13,Richard Jewell,45000000,22345542,43100570
1994-04-11,Frankenstein,45000000,22006296,112006296
1996-04-10,The Glimmer Man,45000000,20404841,36404841
2019-01-05,UglyDolls,45000000,20150241,28363146
1996-07-17,Multiplicity,45000000,20133326,20133326
2001-01-19,The Pledge,45000000,19719930,29406132
2005-12-16,The Producers: The Movie Musical,45000000,19398532,32952995
1996-07-06,The Phantom,45000000,17220599,17220599
2005-01-07,Rebound,45000000,16809014,17492014
2010-02-19,The Ghost Writer,45000000,15541549,65532491
2000-12-22,All the Pretty Horses,45000000,15527125,18120267
2008-05-09,Bangkok Dangerous,45000000,15298133,46598133
1995-12-20,Nixon,45000000,13668249,34668249
2012-07-09,Dredd,45000000,13414714,41467606
2011-10-28,The Rum Diary,45000000,13109815,21544732
1998-01-30,Deep Rising,45000000,11203026,11203026
2018-12-21,Welcome to Marwen,45000000,10763520,13086137
2019-11-29,Bloodshot,45000000,10021787,37321081
2011-10-21,Johnny English Reborn,45000000,8406711,164640401
2008-09-26,Miracle at St. Anna,45000000,7916887,9676497
2002-05-04,Big Trouble,45000000,7262288,8488871
2006-12-21,Man cheng jin dai huang jin jia,45000000,6566773,76904429
2007-11-16,Love in the Time of Cholera,45000000,4617608,31077418
1997-01-31,Shadow Conspiracy,45000000,2154540,2154540
2012-06-16,Foodfight!,45000000,0,73706
2020-11-11,Hillbilly Elegy,45000000,0,38852
2012-11-10,Argo,44500000,136025503,227140757
1993-06-08,The Fugitive,44000000,183875760,353715317
1985-05-22,Rambo: First Blood Part II,44000000,150415432,300400000
1996-10-18,Sleepers,44000000,53300852,165600852
2010-07-30,Charlie St. Cloud,44000000,31206263,48478084
1996-02-02,The Juror,44000000,22730924,22730924
2014-06-02,The Interview,44000000,6105175,12342632
1980-11-19,Heaven's Gate,44000000,3484331,3484523
2013-06-28,The Heat,43000000,159581587,229727774
2000-12-19,Finding Forrester,43000000,51768623,80013623
2000-04-14,28 Days,43000000,37035515,62063972
2005-05-13,Danny the Dog,43000000,24537621,49037621
2002-12-04,The Sweetest Thing,43000000,24430272,63078756
2018-10-25,The Girl in the Spider’s Web,43000000,14828555,34983342
2016-07-10,A Monster Calls,43000000,3740823,46414530
2011-01-28,The Mechanic,42500000,29121498,76347393
1993-06-30,The Firm,42000000,158340892,270340892
2012-03-14,21 Jump Street,42000000,138447667,202812429
1999-05-28,Notting Hill,42000000,116089678,363718196
2000-06-21,Chicken Run,42000000,106793915,227793915
2004-01-16,Along Came Polly,42000000,88073507,173044410
1992-01-07,Boomerang,42000000,70052444,131052444
2009-10-07,Brüno,42000000,60054530,138708527
2063-12-06,Cleopatra,42000000,57000000,71000000
2017-12-05,Snatched,42000000,45852178,57852177
2012-10-10,Here Comes the Boom,42000000,45290318,73239258
2002-05-04,High Crimes,42000000,41543207,63781100
1996-11-15,The Mirror Has Two Faces,42000000,41267469,41267469
2011-11-03,Red Riding Hood,42000000,37662162,91678442
2002-01-25,The Mothman Prophecies,42000000,35228696,56438555
1989-07-14,Licence to Kill,42000000,34667015,156167015
2018-12-20,Holmes & Watson,42000000,30568743,41926605
2012-01-27,One for the Money,42000000,26414527,36197221
2001-09-03,15 Minutes,42000000,24375436,56331864
2005-09-16,Lord of War,42000000,24149632,60437727
1993-05-28,Super Mario Bros.,42000000,20844907,20844907
1992-02-10,Hero,42000000,19487173,66787173
2012-01-27,Man on a Ledge,42000000,18620000,49621440
2010-03-12,The Warrior's Way,42000000,5666340,8514325
1997-04-18,McHale's Navy,42000000,4408420,4408420
2010-05-28,Micmacs,42000000,1259693,18821576
,Les Bronzés 3: amis pour la vie,42000000,0,83833602
2015-10-04,Pourquoi j'ai pas mangé mon père,42000000,0,15451663
2002-08-11,8 Mile,41000000,116724075,245768384
2019-05-24,Rocketman,41000000,96368160,192137020
2001-11-05,A Knight’s Tale,41000000,56083966,100622586
2003-08-22,The Medallion,41000000,22108977,22108977
2011-10-14,The Big Year,41000000,7204138,7684524
2022-01-21,The King’s Daughter,40500000,0,0
1999-01-15,The Sixth Sense,40000000,293506292,672806292
2005-07-15,Wedding Crashers,40000000,209218368,283218368
2010-11-06,The Karate Kid,40000000,176591618,351774938
2019-05-15,John Wick: Chapter 3 — Parabellum,40000000,171016727,325674995
2015-11-02,Fifty Shades of Grey,40000000,166167230,570794950
2019-11-27,Knives Out,40000000,165364060,312952178
2009-06-19,The Proposal,40000000,163958031,314709717
2013-12-12,American Hustle,40000000,150098456,257858943
2003-12-25,Cheaper by the Dozen,40000000,138614544,190212113
2014-07-25,Lucy,40000000,126573960,457507776
2013-12-25,Lone Survivor,40000000,125095601,149804632
1989-11-22,Back to the Future Part II,40000000,118450002,331971881
1999-09-24,Double Jeopardy,40000000,116735231,177835231
2003-07-25,Spy Kids 3-D: Game Over,40000000,111760631,167851995
1996-07-24,A Time to Kill,40000000,108766007,152266007
1992-01-07,A League of Their Own,40000000,107533925,132440066
2016-09-06,The Conjuring 2: The Enfield Poltergeist,40000000,102470008,310201399
2010-01-10,The Social Network,40000000,96962694,224922135
2009-07-08,Julie & Julia,40000000,94125426,131516178
2009-06-02,He's Just Not That Into You,40000000,93953653,181053657
2017-09-02,John Wick: Chapter Two,40000000,92029184,171317271
2016-01-14,Ride Along 2,40000000,90862685,124827316
2006-04-14,Scary Movie 4,40000000,90710620,178710620
2015-03-26,Get Hard,40000000,90411453,111711453
2000-04-02,Scream 3,40000000,89138076,161838076
1990-05-24,Back to the Future Part III,40000000,88055283,244087268
2016-11-10,The Accountant,40000000,86260045,152962083
2014-11-13,Dumb and Dumber To,40000000,86208010,156553592
2014-04-23,The Other Woman,40000000,83911193,195111193
1992-11-13,Bram Stoker's Dracula,40000000,82522790,215862692
2006-02-17,Eight Below,40000000,81612565,120455994
1999-12-24,The Talented Mr. Ripley,40000000,81292135,128792135
2015-09-24,The Intern,40000000,75764672,197115710
1992-09-25,The Last of the Mohicans,40000000,75505856,75505856
2004-10-29,Ray,40000000,75305995,124823094
2005-01-04,Sin City,40000000,74103820,158527918
2015-10-14,Bridge of Spies,40000000,72313754,162498338
2008-02-22,Vantage Point,40000000,72266306,150886329
2009-03-20,I Love You Man,40000000,72013010,92302502
2001-09-11,Shallow Hal,40000000,70836296,70836296
1991-12-20,JFK,40000000,70405498,205400000
2006-01-27,Big Momma's House 2,40000000,70165972,137047376
2019-08-22,Angel Has Fallen,40000000,69030436,133365452
2018-09-19,The House with a Clock in its Walls,40000000,68549695,131457147
2016-03-11,Hacksaw Ridge,40000000,67209615,169023926
2001-02-03,The Mexican,40000000,66808615,145238250
2009-08-28,The Final Destination,40000000,66477700,187384627
2021-07-03,The Conjuring: The Devil Made Me Do It,40000000,65565074,200205869
2009-04-17,17 Again,40000000,64167069,139474906
2011-02-18,Unknown,40000000,63686397,136123083
2010-04-06,Get Him to the Greek,40000000,61153526,92994927
2003-11-21,Gothika,40000000,59588068,141484812
2001-11-30,Behind Enemy Lines,40000000,58855732,58855732
2011-03-18,The Lincoln Lawyer,40000000,58009200,87145086
2004-10-15,Shall We Dance?,40000000,57887882,118097882
2006-08-25,Invincible,40000000,57806952,58501127
2013-02-15,Escape From Planet Earth,40000000,57012977,74156610
1998-10-07,Small Soldiers,40000000,55143823,71743823
1997-07-31,Spawn,40000000,54979992,87949859
2014-11-26,Horrible Bosses 2,40000000,54445357,105945357
2002-01-25,The Count of Monte Cristo,40000000,54228104,75389090
2006-10-20,The Prestige,40000000,53089891,104407366
